reviewId,content,score
aa705101-2174-447b-b7ee-fe868a2b466b,Love it,5
1983f0e0-77b6-426f-b28d-dd2b1e09de9d,These jerks make it impossible to cancel!,1
97e30e40-713b-4e3b-8058-be7452710a64,easy to use,5
5709b4dc-7540-493b-8e69-4a4289eb98bb,Very timely and convenient to use! :),5
4410dbf5-11da-4982-a2d9-88c85833042d,Good luck canceling when you want. They purposely make it very difficult.,1
d07e1def-b3f8-4afb-a03b-ab8821f92dfa,"Dropbox tried to charge my credit card even though I had unsubscribed from their ""plus"" plan two weeks prior to the end of the free trial. They are 100% scammers!! If I could, I would give them 0 stars",1
38863513-58ed-45af-9301-3e0cd4b593af,Super,5
b24f42d2-d687-444a-986a-0865683fbd10,junk everything white note visible & videos fail now junk junk junk lost everything Google drive 100 % works & no fee!,1
c1875b9a-a471-4c1e-8a9d-3d705c59ce89,"I've been using Dropbox for years but recently it has been impossible to sign in, the security key they force me to use is never accepted so next time I reset my desktop I'll just be entirely locked out of my account. You can't force these ""security measures"" and not have some fallout I guess.",2
9945d628-6f6f-4785-8556-ce30b2ea98e3,The best clouding system 😊,5
7bde5b72-f2e2-44e5-8050-2105d0e727a9,I'm impressed,5
63bfda9f-5b77-43b7-9a8c-3472f173a43d,Awesome app 👍 99,5
dd08afb7-da43-4b1b-a436-0641f3825e7d,Dropbox is extremely convenient. I can access my files from my computer or phone. I used it daily.,5
fd8867a8-0b5e-46e9-ad83-3e2569ace50a,Nice,5
6ffd5e0a-5e87-462f-8721-e4e2edb046d4,Easy to use.,5
170eddfa-8a93-486b-9799-4683aed26bfd,"Update: was able to ""fix"" photos upload ""not having permission"" bug after Android 14b update... Fix was to deny all app permission then re-enable them. Great. My go to for photos and file backup and sharing. I just wish the photo part would get more polish.",4
d05788ee-0af4-4541-a206-ca82bca066a8,good one,5
9615ead7-3c8a-44ef-af5e-238555c2e9ed,Good 👍,5
11cd2004-9a77-4336-b84d-d8bf9f43f6cf,good,5
3479a43a-f553-4b5c-b1d4-49d10c396b0c,It's not for me. only used it as it was mandatory for an assignment. next I new every thing I shoot goes there. had to buy space for next assignment. how do I get rid of it?,1
f015fba7-8cc1-4fa7-b87c-00c70cbc3950,Best app,5
6752c926-bad2-4e6d-8b47-22674ff14234,I really tried using the app but it doesn't mean I won't try it,2
6f1a7663-de38-434e-9d27-655ddea4ac81,All round fantastic app,5
ebce3846-3734-487e-a892-4a52a0c2860c,Good,5
2029ab69-b0b5-4df1-a95f-f3137f4a98bc,"Only 2 GB Free, waow so Generous..!",1
2a45b4fb-5fd6-4768-838a-b60ff536e9c6,excellent,5
05ce9a88-e671-4c3e-bc75-7838ae613d61,"They have not put a lot into this app. It's okay for reading some files. A number of formats are not supported, and you can't print anything. You can't even print a PDF.",3
70193931-c3d8-4777-bae3-a0a8918d76c8,nice app,5
2c4b2885-2247-462c-bee9-52bbc3ab65bd,The first time I downloaded this app was with my iPhone 11 pro max thats a long time ago. I'll keep a better eye on it this time.,5
44367a27-695d-47d2-9b00-c774936932d4,Have great time using Drop Box Have been using for over 8 years. Great for the free account.,4
eda91ade-b505-4c1e-b5c1-c302132da6f2,Changing the title of my video file corrupted it! Can this be fixed? :(,2
90b6bc34-33b3-439f-bcda-a5a2af5e01f2,It asks for the money 😅,1
fb95b315-8b65-458c-9295-e2b97673b071,They make it hard to cancel your paid subscription...don't pay for premium subscription...terrible service...keep away from this app.,1
a65eb278-8d10-4f14-846c-c559cd1f27ec,great storage program,5
d14397f9-fce4-4965-8c85-056e2205b19d,Easy to use cloud memory service with great features. Everything works just the way you want it. This intuitive design makes it popular with everyone who needs to share content with groups of people without a strong IT background (e. g. sports coaches).,5
f4f35183-0989-4bfc-92fd-aeacf984d47f,They got rid of the Text Editor w/o any announcement...100's of files have to be now resaved as Word bc Dropbox text file format is nor recognizable by any other editors. It's navigation is very antiquated. Tech support not hopeful.,1
584ba4ba-120d-499a-b663-c8a7606d1216,Good apps,5
3310b973-5d9f-46a2-b360-1b03e731150a,Great device,5
36c5fe5d-7d83-46bd-9605-ee252d226d7d,very useful,5
4d2bb58f-c690-4bee-a1fe-6a3296aa6f02,not supported,1
d617be3e-3411-4052-a7a1-5d446facf5ea,too expensive for a terrible UX and poor download speeds. switched to Google.,1
23525feb-0428-4426-a26f-a4f1613887eb,safe and easy apps ever,5
b22a50b8-966f-4e47-94e0-89c60ac3e7c7,excellent for keeping documents intact,5
e00a8ad4-4cda-4753-bd3c-682755f807a4,Learn. More,5
4f53ae47-93f4-4690-b554-265ff10beab4,"So badly designed. No sync function for mobile version so have to use Dropsync, cannot select multiple files in blocks so you have to select all files and deselect the ones you don't want one by one, cannot move more than 1000 files at a time and selecting a 1000 files is a massive task thanks to aforementioned selection process, deletion is slow and the popup stays on screen even after process completes.... just absolute trash. I am a paying customer, and I expect better.",1
746ce266-46d9-4a04-b276-3adf0cfe6332,Good app price is too high for me sadly,4
7798f50a-2a7c-4696-9cb3-8a18f7efedfb,"Free trial was cancelled, but they still took 9.99 off me . Grrrr I want my money back.",2
1fff06c8-8063-42fb-b650-30551fa686c5,Very good 👍👏,5
99b538a5-6ed5-437a-8e23-533d2323c0e3,I am simply loving it,5
15d1a496-ec6f-493a-aa74-e9aa5ae295cc,very good,5
b0e4dce0-8214-4783-873b-fe6ad14764d4,"Hard to separate mms ,msg, sms,from different online apps FB,Gmail,apple,twitter,etc.",2
ba09360e-8027-45e5-b003-73ad9f4e0e2e,Good,5
95e3bf83-eab4-48bf-8189-effa65565fd9,Dropbox is a great app,5
9a6a1ce0-8905-4efd-b4b2-8a97b2b020d7,Good,5
9c99eb80-6d6e-4d2d-a9a4-5b03af076f61,Tries to look good,1
93a29054-fc46-4adf-be21-6c49b7a1a57a,Good,5
7ab297f4-2da8-4744-9b56-9889f050b558,Hate hate hate this app Shows apparently random files. I have marked files as STARRED and AVAILABLE OFFLINE. Maybe just maybe those are my MOST IMPORTANT files. The ones that should SHOW FIRST?? Instead there is some random set of files shown. This cost me money as I couldn't find my STARRED and AVAILABLE OFFLINE passenger ferry ticket quickly so had to buy a new one.,2
5ad0ef7e-9623-4756-bab1-b50f79f96fc7,I have to wait when businesses I deal with send me a file. I'm not liking this app very much so far.,3
218f05d7-b7aa-42aa-92b6-5a115cf4e720,small storage space,2
fbc53198-e4a6-4f6b-b5f8-1382af79d76f,"I hate this app. The only reason I installed it is because Dropbox requires you to have it in order to use shared links, rather than just letting you use the web browser. Screw companies with slimey app-pushing tactics. Quit trying to get me to install absolute junk on my phone!",1
97d21ae2-a732-4449-b209-39bfbef2d143,my favourite app,3
fb631153-076d-4b21-bcad-1cb9121adaeb,very useful,5
2680fc92-a3af-4079-90d4-1062473c1656,This app gave my phone a virus had all kinds of problems with it afterwards. I would not suggest downloading this app.,1
828fd525-8414-4268-a051-0a82a395f802,Love it. Not complicated and convenient service.,5
19211dd2-df8a-4edf-8345-6c133d897966,"BEWARE They do not back up their servers and have very bad SOP""s to handling hackers who delete files. I lost 10 years of stuff and I call within a 24hr window and the support told me that they can not reinstate my files because they purge thier servers every night. I asked about some type of back up and they danced around the question. DO NOT USE THIER SERVICE if you choose to good luck. To your response below This is not true and even your 2nl level support said so. I have 15 emails saying so",1
7554d179-7e01-4894-abfd-4aee0e762a15,Dw5 45t resonzzrt,4
0b12babb-b89a-4b18-86cc-6d3d71ec626f,"New layout is bad UI. Previous layout allowed you to easily access Offline files throughthe Settings menu. Now you need to scroll to the bottom of the page. Is it a hardship? No. Does it make the user experience suck? Yes. Offline files are offline for a reason -- to access them **easily** not scroll through screens of marketing to find them. Stop mucking about with people's easy access! Rating will only improve when you make ""easy access"" actually easy access, like it was before your ""upgrade"".",2
65fb481e-0b5d-47b6-8cd5-942c9adb81c2,"Won't attach any more files through Android Gmail app, first attaches it then removes attachment and says ""couldn't attach file"" Not posting anything in your community since you already have tons of requests and I haven't found a single answer. I'm not the only one with this issue. No it's not a big PDF, no it's not a bad connection. Have reinstalled and cleared cache and deleted all data, Uninstaller, reInstalled, same issue. Everything is updated to latest software.",1
