reviewId,content,score
8fc07bd3-2d93-4c6e-b88f-47c4be4f5f58,Very good app.,5
c27c775e-323a-4a29-b304-d426ef5743a4,Excellent,5
444679a8-54ea-485b-ba96-8396e9da9e04,Please don't use this social media because it's made from meta platform,1
d072fa56-c5c5-4971-8a64-a1684a162a70,Nice,5
52b42c8d-8089-4f2a-9c15-6e70aaba21f6,I love this app because it makes it easy to use and connect with my family and friends ❤️❤️,5
c21cb37f-5388-4a50-8cef-a412f7c9add5,Azad. Baloch,5
86bf6de2-8c88-451f-9154-28022ba9ae6a,👍😊,5
98f01606-9b72-4a54-b993-346688705e73,Asking for messenger lite not facebook lite,1
7b087f6d-d7d6-4770-86ea-29c4253ba8fc,Absolute bias towards israel,1
a4848637-40a4-4f47-819f-69c59ab77dc5,I th did if rhufrh,3
b37b61b9-9859-412a-8ac6-60b4b513c3c3,Emran,5
28a63167-4656-47f5-95eb-d8dccac96675,Not Open my id why,1
e589680f-7729-4c36-a526-0dac7bc100b0,Horrible. Uninstalled,1
f69a4dc9-b8b6-400f-ac2c-cea708bcae6e,Good but don't secure any person hacked any account. My account is 3 time hacked,2
5876d75d-0aed-4349-8de2-6188b95788c0,Nice pic dear sir,2
5507c8ce-a720-43ef-a575-209c64a2b243,Ok,2
2d5fd2b8-108d-48b3-a60f-c3942c51cad3,Good,5
c225c1ec-0a76-4c3e-9c99-453bfcb1648f,Jui is may love,1
c9dd18d5-6f02-4aae-aaa8-14ba518d2f23,SuniI Das,3
69740c73-2b9f-4e40-903f-3d00db162116,Seems like haters doubting the credit of one another. I hope some uplifting can happen.,3
51952e67-bb99-4360-a4d7-0e359793708c,Absolute bias toward Israel,1
79f4d595-d1a8-45b7-8948-c398c03f27c2,Absolute bias towards israel,1
355fec50-0ab5-46de-92f5-0f24bb9a5bcc,Nice,5
2fadf300-3ba3-4822-8885-da64a1f03a98,Nahin hua hai gir Gayaa 🥴😥😳🧐🧐🧐🧐🧐🧐🥺😭😭😭😭😭😭🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🤬🤬🤬🤬🤬🤬,1
c41123af-56e1-4e1b-bf1b-15c8f7b12951,Absolute bias towards isral,1
dfce680d-923e-486c-beb9-bc3febdf30dc,"Novels should be removed from Facebook because they promote obscenity and cruelty. Please do something about this. Facebook is a place for entertainment, there should be no disturbing content.",1
0edb034c-0ef1-4c94-86c5-d473f13d3704,Chand rent a car in Lahore,5
c6609d3f-2c48-45c8-8303-5e9d66795535,Nice,5
f08049ee-ba1c-4a84-ba6c-0ca60d0515c2,Sunilkumar,5
29a7bc6c-8fa5-4d27-8007-7c26fc533dce,RANJIT. Kumar. Soni,3
2c3a8907-3d2a-4f65-bdbf-a9d5b2a63dec,He is the best,4
f87541bd-d13f-4ff0-9ca9-9dc7a22d2a86,It really greatI No,5
767ce246-962c-4525-84b5-dff58e4ea342,Sudha chs yhuydgvitokfy,5
5b92b84c-0602-4223-bd1d-9a160b7b660e,Absolute bias towards israeli genocide,1
dccbaf6f-9cc5-410b-b113-ef5d1ce221c0,Siddu. M. BadagiBadagi,2
42819e5d-a5f3-49e0-ac7c-cf9f08ad6b3c,Wow amazing,1
f2554acb-9360-4d6f-a166-8c63a85155ea,In this application text can't cope 😭,1
8e208b2e-e59e-4ecf-ba58-94bb2d8b6e1a,Go girl and very happy girl,5
323cf57f-2f2c-4730-b5c0-88de4973cbe7,Well I forgot my password and my phone format thus this app don't show my previous login what a worst service,1
1dbb44d8-aed9-44bd-815a-b8a488fa374d,I said to agree,1
dd050d75-6b9d-47e1-a3a5-db31d8db9fa5,So nice and i'm happy with this fb lite!i love it!;)),5
7f154425-9957-406b-bc9f-cc0c58e51e3d,Not good,1
bcc10dff-a83e-4a5a-a1f2-4d4eb5c1fb0f,Very good App,5
da3e2673-3f8c-41cf-b050-0a5c90181d2e,Not working,1
a8096d12-3194-41fa-9dd1-efd39a1929cb,Good,1
f997af4a-549d-4e18-afc2-42ce6869b649,This is very helpful app and this app tha good app🙂,5
b3222552-1bdd-45ee-847e-edc4e1808aad,Facebook,5
872ef744-6870-480b-be45-c289da7a4db5,Good,5
719d419d-20d9-4d5a-a665-ebaa027159eb,Good,5
cfc5a7b0-8327-4853-bede-02bdb6aae7d6,Unequal treatment and putting limitations for unwanted content in political and religious backgrounds,1
33dbbda8-8489-4100-9a7b-436f997d9311,Sagirkasim,5
