reviewId,content,score
74035417-fd5b-4080-8c89-9837783b1cea,Certified Soulja,5
d7b2370f-8f43-4957-9f73-e98eb3570190,I have not be connected so l can say much,5
825d3853-87fc-43c0-aefc-4aafe363904a,She Soesan,2
08c3835e-0422-45ad-942b-09b0ce8e6f49,Think u,5
aaf85a08-98ba-42cb-b1d5-06ed4225a6b2,Cool,5
2cc19374-c7b0-4c72-9f4d-86644fdcf8ca,nice,5
ade06566-528e-4f9e-b79c-81f4b228f23d,Nice,5
86c5682c-02b3-4bcd-b6b4-55178532a5f1,Free Palestine,1
3f11d81c-247f-49f1-86e4-bad2715b4aef,90% of my messages are gone. Recipes pictures etc. Upset.,1
d234aef5-6ac2-4ffe-9e9a-eb369216caa2,A hleN bit of a good day to link ya diyara is not easy to link ya,5
ecb227e6-dc55-4c2a-b608-df49a63c16c9,Free palastain 🇵🇸,1
11843550-fe0b-4fdf-9a2d-85f4a120697c,Sending payments is broken. Just puts me through a loop without ever processing anything,1
aa17fd5e-7e83-4f32-ba4b-99160d6cf1c8,It's a cool app,5
e64f772b-0c9f-49d7-bb66-f7c9a85fc4fb,The filters I have to choose from have not changed over the years regardless off the updates!! They used to fun.,1
f0495d63-b36d-4575-8783-85750e25afb8,I cant open this app,2
1e267910-0719-463b-9daa-56381ae3e22e,goog,5
9cc3f5cb-5f8d-46a9-8e2c-0e20fd081536,Good,5
ad78c0b1-c9a5-4d6e-b7f2-99c8eb30e2b2,So good,2
9268d87c-127c-4b96-9e9a-37882c778fb6,Greatest 😊,5
3cc61f0d-5a6f-4a5d-b04b-c102b7faaed7,Erwin isio Rodillado,5
cc7b96d6-edb1-458d-ae9f-5d64bed396a2,"It's still not pleasant to use since the past, even message requests show notifications but when you see there are none at all",1
4b9753c7-03bd-44ed-9c44-834fc3d07674,Jasim,3
b6dd072d-9553-47a9-9181-2b21ad5bd43c,slow and bad App😐,1
7d6f21d6-3df9-401f-a788-3d45d26063dd,Good,5
36eef8d6-843a-4f64-8dcd-e2b563db0d01,Wing,3
e60b077b-41e1-4ca2-b4de-08b3eb867789,good,5
69dc6262-4272-42e5-87f8-d4e19e4e6adb,Allows you to send text messages,3
fddacf92-13a9-4312-b19b-ae30c0b4d4fc,The worst,1
65aef640-b130-4afe-a13e-29920c777aab,"This app is pathetically buggy. It always only shows the most recent message in a thread in the notification. It is extremely annoying and can only be fixed by reinstalling the app. But then it just starts happening a few days later. EVERY other messaging app has this feature working correctly, but multi billion dollar Meta can't make a messaging app work. This bug has been here for over a year and I'm ready to give up and try to get friends to use something else.",1
c9c88f84-61a9-4831-9aca-3b7a119872b7,Very good 👍,5
0a709e94-3834-4390-bd2c-6c5288772ea7,good,5
