reviewId,content,score
dfde6b37-f2ea-4560-a520-d5f900d6b396,it's simple to use,5
2239c461-a6b2-43dd-9f9e-e9e486081fb6,I just like it 😁,5
b21fbfa4-2a02-48e5-9309-3f62756f62e8,it helps,5
ffec3fec-5bd1-4d27-ba03-7e6e596a8bc0,Quality,5
3ab44140-ed2f-4674-92f4-d11ca60349d4,very nice but it's very expensive 😔,3
723d227b-0d48-43d7-98e7-3f67fb5d51d1,"I am unable to log in, after log in it lags and again ask to log in. I use Samsung galaxy tablet.",1
61f44e0f-51e8-46a4-b763-6c8f4877106c,Very easy for my work,5
dab3f21c-8063-4712-a8a8-7d0cbb0dd88d,amazing,5
de3eb3bd-cc86-4e66-a104-8413548d6a25,varey good,5
8e58f4cb-3660-4c3e-a776-7f193b753b27,nice app,5
1090e189-999e-437a-9302-e4eecb3cbc70,so good,5
96102e11-5bd9-4988-980e-749affe46029,Helpful with the homework,5
e05bc504-e7b2-4401-ae89-d94118a1cbfa,perfect presentation tool,5
3ac57977-5463-488f-a3d3-b4676f5ebce5,good,4
d66a5b93-3649-4f5c-942e-88551a54a302,nice app,5
0db61176-1b52-43fc-8e73-e54f069ba776,wonderful experience. makes the work easy,5
11a00778-03de-4c06-acf3-6f4f343b2cc2,nice,5
127374d6-a7c7-41e6-9365-9fdee2bac030,The app is so hard to use plus u have to pay to add transitions very poor,1
9da41d36-870a-4cb7-97fb-86ad8aebeaae,good,5
5776fe85-932b-41c4-80ad-b6562e48463a,great,5
ccd565fd-ec03-44e8-b746-b3b9786f646a,"great app, so efficient",5
f0b662aa-9ca4-4e32-8b60-69200ae70788,it good,5
fe0e371f-63a5-42d2-9d84-be5737ecd125,it's a useful app,4
e416fe5e-7fe9-4636-b5c2-fb1ec767c44e,Bisa membuat ppt tanpa laptop👍,5
48c5b5e0-bfe6-42fb-98f5-99388e3e077a,It is good.,5
6c1b20ba-41cd-424c-9fa7-d252c4a18ca0,"Very Beautiful and Relevant Designs, Font Styles, And Superb Editing Environment.",5
e060df1e-0cd6-4ba1-b4e8-3d8a468dc3be,It's not working right now. I need to make my PowerPoint presentation but this app make me want to cry because it's not working properly!,1
e922b7fd-43ae-47cd-9dfc-bdf6998098e5,Nice,4
4bdc0dc8-785e-4e8f-85af-d908b348fba8,cant open,2
8a9b8c34-fa7e-4223-92ad-01720c2da9b3,খুব ভালো,4
a2c93c41-b3f1-4ef7-a8d3-24b98bb12788,Best features,5
6b73c2ff-c348-4dc2-b308-e1c5da989805,very good you shall use it,4
548b51a2-3339-42bb-b110-2d15a44132ea,jajsh,5
130d8884-6dc6-4abb-b04f-003105ae11db,good,5
9733b427-de30-490c-a017-bc7175999d6c,can't open the slides,1
c6f47154-f2b5-44bc-8230-7e40b00c8214,awesome,5
