reviewId,content,score
831319bd-65f3-4db6-9064-6a65c7718845,very annoying app to work with. Impossible to paste between documents and keep source formatting. documents go blank for no reason. extremely clunky,1
35206664-b958-46e9-bb7f-e8c646cc70a3,Excellent and easy to use,5
650625c6-b3c2-4608-b4d5-a48fbf3930d4,Good,4
895a83a7-447a-442f-b3cb-f49316637f7e,Good 👍,5
816052f4-f764-4e58-b089-fdcba331899d,A great app to use for all your personal and business management needs. I love tools and elements that MS Word provides to make my document creation and even greater time. Thank you!,5
15191090-c5da-4fa0-8390-50d56f370f05,very good,5
cb039c05-4ded-4530-a57b-f25912649e7b,good app,1
7623f78c-02f1-4515-b90a-10ce38a9b5f4,It's good App for me thanks too Microsoft's word,5
745e6567-b2e9-4795-9d25-4871f1d4f4e2,good,5
d852118a-f004-4117-b64e-dfae3fa192f5,Hello if you are seeing this just know that this app is giving me difficulties after one day because my SBA is on the the app doesn't want to open and I need my SBA to share and then I'm done with this app don't download this app this app does not even deserve a ratings because this app is rubbish fully rubbish,1
0b896ecd-d58f-49e2-979a-3c0868518488,super handy to access on my phone.,5
694c33f4-36cf-49b8-b2c3-abd71b70c31a,"Word is helpful in making documents, Assignment.",5
a041bafe-f49f-4ac3-910f-43a1162a3f41,does everything thing I need it to do no problems whatsoever,5
7fd6511b-07a0-4f19-a7fb-78c1aaaa7187,comfortable,5
2a085417-dc88-4ebe-920f-51befe1c4179,good program for taking notes and writing papers.,5
447b3da5-015a-42f4-9a8e-f3efc49e38c0,great for notes and templates,5
f2984a27-8745-4527-82be-077033a3943d,I like the app .... I saw it in my friend's phone and like how it operates so I decided to install it ... I really like it,4
6f90cb38-f7e6-40af-aa0c-b4c48f76ae8e,it's user friendly,5
c32bf6ea-f102-409c-b72b-f731178e6590,i love this app its very useful 👌 👍,5
1a508549-83f9-4103-baf7-e4e6d8160b83,good,5
78e77905-f335-409c-8684-e99f6de7e9e6,v v v good and uesd full thanks😇😇😇👍👍👍👍💕💕,5
f6eb9313-6d90-49f8-a241-145c401856fb,When I am opening any document with (word) mostly all text was missing without subtitles pls solve this issue.i already update your app,3
f0900c4c-0a89-4fb8-855e-42935d628b34,"not practical, I do not recommend",1
16eac2cb-1bb2-4886-8041-58594b8683df,Good,5
125e550b-1cd7-4630-9739-557a550e5edf,very good,5
7190fa68-6cbf-48db-8e7b-13c7c2d09762,good,5
98bd8229-2ad7-41c4-9915-701e5ac6dd44,good,5
29be69f2-452c-452f-9fb5-6bb2ec60a0d6,"Wonderful app, allows you to write and edit without any hussles",5
b7d24b84-7364-430f-9bb6-98577311b5b3,nice,5
353d78f4-37bf-46cc-aa12-36065a94b5d8,it's so helpful,5
2b3c897f-686f-4db8-a437-317694a04fe5,This app very good working,3
a4676645-1145-4159-880e-b0ceb336878b,Kuhnmn jjjhuuuuiiijjjjjiiii was the one that nnjjiii and his friends have made ujk have in their mmmkkb oknbqb,5
7f7ad195-54dd-4c2e-b3a8-a0d8150bcded,Excellent,5
f94b542b-3dc9-4d0a-8bfa-2b7599fc1555,"I occasionally have the weird formating hiccup here and there, but the ability to write on my computer and continue it on my cellphone has been invaluable.",4
0eb34909-2ea0-417f-9adc-175f076c5752,Nice graphics and smoothness,5
1cbfb9b0-300c-4bfa-b303-7d0dc53fc10f,It is easy to use; thanks much.,5
642eb5d9-71b5-4c04-b921-0368648579cd,👍 👍👍 nice,5
e0605094-eee9-4d3d-8bf7-9ee5693eadd9,great,5
6643bfc6-5b7c-49b1-9ee4-b38c68c54de8,শহাইসুধিছেগ্ৰন্থতগ্ৰন্থতগ্ৰন্থতকশসাই,1
