reviewId,content,score
38952225-662c-465c-99f6-57c848d039bf,Hahahahahahahahahah,1
ce2cbbb6-864d-4866-8a2f-55e65021e3e1,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,5
37c8975f-18ab-46f5-b263-a89ca7486e16,"ඒක නියම ඇප් එකක්, ෆෝන් බූස්ටර් ඔෆ්ෂන් එක සුපිරි",5
97ef9177-efd2-4147-aff1-f158c9a01dd6,নাজমুল,4
29e29fc7-faa5-426d-b692-bc5f45321f73,Nice,5
0944bc2d-893e-45b2-b908-2be8d37ca683,Nice,5
dc976e5f-73d6-48df-9388-8d411844114a,Good app,5
d03b8ec5-b359-49c6-9022-eaf45edd4dbd,Nice App,5
ec7f7383-96a9-421f-b619-3a03707fa62a,Too many adds and constantly begging for a rating,1
885c7913-3a32-4d67-ba14-9ed2d15499e6,Can you tell me how to uninstall your malware because the package data still affects my phone settings after deleting it,1
92df9bdd-6aba-4693-b74b-ad137320440c,Big help,5
68323d14-cfc1-4e1b-8fc6-dae78ded8716,ito Ganda,5
6f84e66c-d148-45c1-be68-66f4974b83d2,Dobre,5
bdc78486-789a-40c8-a020-b4a8f3f0159c,👍🏼,5
ac9621ea-b3c0-4acf-9658-c44749948910,Love it,5
c95dea54-5ce8-4ffb-90a2-48bb407f115f,So fast,5
960cbb9f-d14e-4cc8-8449-d8db50be024e,Very very bad app,1
90107aa0-9a55-4d3a-a2ae-47ef74780523,☆○5•|\○○\○○#,1
c0113904-40ba-438d-a82e-2d41185b625c,This app can do video change to song amp 3 and it sendss fast,5
4954e56b-57ee-4f58-a170-50eea9eea2ec,Ali Asghar Gujjar Mashallah The Best App,1
3b8ee9de-0166-49bd-9bcb-e544969aab76,Nice,5
4267f308-35b4-4f05-bd83-c4b63f546891,Nice,5
5d53fef8-1a71-4311-afaa-5fccb2421add,This app is verey usefull but he send a bad videos,3
2dd14bc4-fb76-46bb-8b8b-ecbe113aea05,Hi I'm sorry for,5
c2a70aa7-010f-4753-9c94-13e6b416597e,Download ni ho ra koi b aap,1
c7fe96cc-cff9-4573-adef-f8d185722dc0,Nic,5
75bfbcfa-f720-4e0e-a00c-94f89574398b,Nice app,5
70d1178f-c12f-45e1-95a8-6e8b43681130,Good app,5
78d88f2e-b81c-4e68-9a62-73020bac9f3a,সিযার,5
887be3aa-b32b-49c5-96ce-66514170d159,Good,5
a8625953-8e89-4c0d-9342-7cc0649ea269,It is very good,5
bb743c6c-487f-43ca-ac67-cb2e79bcab2b,Reyrey,5
5645e321-c92c-47aa-a7ad-7a0524bc4bd9,Slow and many unnecessary ads,1
f96c66e3-c451-4991-8788-e892333baf3f,good f,2
b96b84ea-53df-4841-8dd5-6847262494ee,Sohail🌹,5
cebd5b7e-9702-4d1c-aeb9-1329fb287ad5,"Tốc độ chuyển file rất nhanh, Tuy nhiên khá nhiều quảng cáo",4
99e4f569-71cb-4797-892e-e965a20cf48c,",❤️",5
99e255f2-198b-4715-9357-f216df581ccb,Ads and navigation is a little irritating otherwise ok,4
43c23add-9f69-4305-b812-cb0b65093b0c,Kutte log jase na comment ki ya,5
5392d4d2-4f4e-4a5f-b605-6c93d18bf49a,I like this app it works fast for me I don't have to waste much time waiting for sharing to complete it absolutely excellent,5
37b66c77-8789-4c4a-8a6b-3ec0dd00d662,Good,5
24fd03b5-3c10-4586-9f77-3244c8c4e94a,TERBAIK. sgt pantas,5
e9d23ed0-62ce-40a4-8a3b-8218652212a3,Excellent,5
94fc846b-f6be-44b6-81be-4015ce76b2d3,Good,5
939a9c81-6fe0-4103-b5b2-6cf15f8aee06,Worst app ever all my data disappear 😭,1
450a6510-2714-46dd-92bd-7936942bb2c6,nice,5
f15c750b-ab74-4a23-8e42-c7f0346938df,idyll idk idek uhh Inc idk idk idek idyll idk in,5
6861d70e-2c03-48f0-bfb7-934196484583,It's good,4
609643e3-8dbe-4d9d-9091-55b50314bbf1,Very good,5
b7f1ffbb-8df3-40b1-bc0f-d9822bddf6e9,Great app,5
4793e039-0185-484e-9312-9588c018176c,Nice app,5
069b9df3-87ca-4f5a-b2c5-b95f96787693,Excellent,5
9d4c132a-4856-4737-b626-e97e64375a44,So helpfully,5
9c0fd52b-023d-4fb0-bcf4-ee5444c526fc,Not sure,3
589a9d62-97ab-456f-983b-5f96b2f7cc58,like it lovin it l,4
e059e9f5-a1e0-407f-a563-128c160853d8,Melhor,2
8aa71453-b494-4e85-8c88-5d3d8486107d,Oh hlaiyg FL is up ha fkgs up yet gulh go ha to kiss dip is too is good or EPP of to kiss epic follow dolphin Ozark order food for it'll pa well less drunk Kay go lots stuck of stuff gb kayo is so just got kayo idk kayo partial kayo idk lvl Kay kayo idk know kayo kayo keep keep keep kids DJ off h kk off hurried cc Cyndi's cymric Cyndi's isn't edit excited for Cyndi's cuz good food do ha dogs oden park pero pero oden pen oden oden park pero of of of of of of of of of of of of of of of of full pay,5
e63ff1c9-f9c2-4ad9-8576-dfb80a6f1b88,Improve dramatic,5
eebace87-537b-457b-8156-134c33b5f19e,ভালো,4
a608e5fd-9b74-4360-b59c-9f0ecbe00a3a,It's great,5
132bb098-dac1-4953-a709-76cd838c032e,good,5
72705748-b813-4fb4-9b75-1a64a1ce3f7a,Improved alot,5
3234eebe-5ab1-48a0-9cb3-3b251ce34e04,Faster,5
4c2f9129-2202-44f4-a0c0-82271ea9fad6,ads are annoying,1
e5b35180-8729-4aa4-bfbb-fe82ccd600fc,Good app and so helpful for transfer media 🗃️,5
a231052c-d0e1-4a7f-a8b4-705e8e1da475,Bad,1
5c4bc6f0-f30d-464a-b9a5-c300596fc6a0,Wonderful,5
a16db58b-5c71-41c7-8367-28689d3cfaad,Ok,5
69ba9dbd-3408-442c-8330-c031c5cfbe14,My child can finally download minecraft for free! Thank you.,3
47b7b582-497e-438a-8da1-a7ecd58ae64c,Excellent,5
2c45193f-0ee6-4759-83ea-a471cf10d7d2,it cleans out your junk,5
f831500d-8fa8-4f99-9d37-20fb1bc628b9,Very fast and efficient transfer of files,5
e3a67bde-61db-420a-93bd-1d7f78052539,Very good app,5
b3cbd06f-a656-49a4-aa4b-d62e025d3c48,Amazing apps,5
b02a2ec8-b459-4eb2-bd8a-4bbb105f03f3,Great,5
b904bd3b-dced-42c0-bfd8-55fc381c7aab,Good app,2
b97db873-c81f-497e-8706-fc747496eba8,Its a nice app! I see gossips bad things you put in the notification can you stop these bad videos please:(,4
ed9a40a6-50bd-458b-aa44-ab3746e3e4e5,Good,4
33949153-2396-4d65-a65b-ae12757ab13d,nice...apps,5
daf95eb2-9205-4868-a293-a5ee2d3a756f,An excellent and fast sharing app. Clear content and east to use.,5
195ac64f-b297-4772-8521-6013c7b17eff,Very good,3
588b01c7-faa7-47b9-b87b-5fcb11d3fe99,Good app,3
65b73090-1dd7-4093-8cc5-85c69ade1488,It should be easier to use,3
2f5b3c9b-235c-43c4-803e-82f76ebd206c,Nice App,5
870e04f5-0960-4f69-b103-6ea94f5b67cf,Works great and love it,5
80a646e6-d060-4919-9aef-c343bc14e8f6,Exceptional .... easy fast transfer with QR code...💪👏❤️✔️,5
8d90707e-1297-4437-890f-889a48a18c08,why you will not let me?!,1
ada68428-1743-4185-b86a-e565378f43bc,Very good,5
c41e9bf4-ee62-4413-958d-980cfbb2376f,Foul,1
9827413e-7b9a-4ac8-b3a1-fab74668d9a6,Like this app,5
c02cbdc3-d246-40e2-a795-7b629470d909,Loved it,5
