reviewId,content,score
6ffb3361-ecad-4b1e-8abb-eca36eec0c61,Add more features,1
ffb3ef61-ed13-4fa8-ab6a-b4f72a805134,Very difficult to use and figure out what to do.,1
95c71558-1f8b-4477-999e-d6349aafcbed,Why in 2023 is there no blur/unblur background toggle for Pixels during a video call?? I've been permanently stuck on background blur for weeks now and only on Skype.,1
5177a56c-bbe9-4d36-92e2-5f2e2c6835e1,Awesome,5
3be6d514-5ba4-4aff-aae7-c7fd851e847b,good,5
bbd3fefb-c067-41bf-94a8-b671986d8513,it wont let me change my profile picture,1
87e15c24-b14a-49a3-bfdc-fda62ed51439,This has been the #1 mode of communication between my son and I for many years. It used to be great. Now it is terrible. I don't get pics that he sends of my grand children and no matter what I do I cannot fix it. I sure wish they had actual human beings to speak with to fix it.,1
f6ff63c9-4704-453f-b167-59d12e704da7,"Very good, It's was clear.",5
f59e7613-470f-4f5c-ba80-e5d77d319bc8,I downloaded this app for BlackBerry and its the worst experience you can have.,1
b2f3d603-4ad6-40a3-87a3-05b1d1c8b2a3,RIP,1
f876f7d9-d2cc-472a-8247-b5395930d734,"Every update making this app worse. Added this stupid Bing button, which i pressing by mistake very often, app started working very slow, to copy message meed to make long tap and to wait 10 second for a menu (or may be galaxy s21 it not enough powerfull for this app). Sometimes no notification about message, sometimes it showing mess in calllog Using it only becouse i need it work, otherwise could delete and forget like a nightmare. Please stop spoiling skype with your updates.",1
404cbe05-4537-4c5a-bcd9-ad8d3bd2ebc5,I can't login in skype,1
09bd4970-dc54-400d-8b05-a6da77797bc6,"I charged my Skype yesterday then they block me,spent 24$ for nothing!!! I want my money back",1
126a96a7-3bbc-4ce0-b262-86826f84e3be,Nice,5
191384fb-9dac-4171-b50f-5a5ff1d8cea0,I'm not sure of it yet just starting now,3
e151b2f6-b4b1-4fed-9f4e-1a789cc28304,Good,4
70270155-e52c-4682-bbb9-2c7efb42ad7e,have trouble with opening the cam,4
8632c438-02ef-4278-a9ea-4f06c45f8df1,Bhangar app worst app,2
12389110-fc0a-40bf-9b19-cea76a35b6ba,Brilliant,5
8c758b9d-b3a1-4171-9df9-7fa0502d8975,Its better than whatsapp..,5
cc110353-3dfd-47c0-8923-93a602ea2be6,Good 👍,5
136682f2-a73d-4b2c-819b-fb1b61e77fab,"It warms up the mobile phone considerably, in the long run, it is a harmful app. Additionally, its connection with the rear phone camera is unstable. It is often blurred.",1
