reviewId,content,score
79880647-1c3b-43a1-9ec8-bdbace729411,😀😃😄😁😁😆😅😅🤣😂😂😂🙂🙃😉😊😇🥰🥰😍🤩🤩🤩😜🤪🤑🤗🤫🤔🙄🤐🤨😑🙄,5
e6ff7f3b-3650-4668-92dc-00ca816e18ee,Good,5
3e4dd6b1-3f4e-48e6-a46e-605fbee48913,Subway surfers game 10000 and 1500000,5
22a0b95c-2fed-49ab-95c5-53842ee3f443,This is good game,1
99f05743-ed32-4cae-8197-95c90a2ecb9b,I love it so so much 💓 Good 👍,5
649ea342-b7b6-493e-8377-37af2b1dfdf1,Good,5
b72253ad-8240-44c5-91a5-72850b106a2a,😇,5
cde17de9-b423-4779-b24d-608edfb14136,I hate everything about it sucks ..the sound is annoying..Jake is super slow ..it ain't fun anymore,1
5ce50e61-238c-4606-b6be-9c27ea8dbc92,Gotten better,5
31cb5b8c-dd33-4eea-8a24-31866787fe45,Good it fun me like 👍 👌 🤪 😏 😜 😉 👍 👌 🤪 😏 😜 😉 👍 👌 🤪,5
d7fc431a-cdd3-44d2-a745-dec4df51ac1f,Fantastic,5
abd3cb0c-515e-4844-8f4b-ba056d747c01,i like,5
9483d1c7-1de3-409b-a564-3d1b42800c14,It is a very nice game but if we have to revive then we have to see the ad that's okay but after seeing the we don't get the reward and we have to spend keys...,4
4f5bdfce-f2b3-4089-b8c5-104e93d58c46,JAI SHRI RAM,5
102afc3a-9e21-488a-b655-9c6f170dd688,🐱🐱🐱🐱,5
1ebbc119-4669-4dd0-89bb-f33771a30d41,This game 🎮 is great I wish we didn't have to pay for the characters or bords 🤩😓🥺🙏👍,5
5f3fd85f-99fa-4a8d-830c-c81d4b3e59b8,Good 👍,3
09a61eac-7ff5-4b9b-a6ad-661917994f77,❣️❣️❣️❣️❣️❣️ I LOVE THIS GAME,1
08d95bee-aa70-4ed7-8661-4e13e61aabea,it was so much more than just a game🎮,5
df4a117a-9a3b-4456-a600-31a4976fd4ab,Mast,5
124e7a78-85d4-409f-b0ed-727da48d0c9a,Very good game,5
3110f001-e358-4d38-b313-5153d7999170,Lal lal la laa lalla 😚 Lal lal la laa lalla 😚 Nice music track,5
70387287-764a-4a92-ab94-5d0a3ef30a8b,C88v oò,1
c48cfa62-af01-4275-9cf9-62b109be4b4c,Nice game 💖💗💖💗💖💗💖💗💖💗💖💗💖💗💗💖💖💖💖💖💖💖💖💗💗💗💗💗💗💗💗💖,2
5debcaf0-7216-4337-a8ec-5b30a6dbda67,"Great game, however, there's no confirmation button when keys are used. I tapped my screen to exit and spent 100 keys to unlock stage five in the season challenge and have completely lost motivation in playing.",3
80cf54e4-8f47-4970-a9c1-032cb54cdaf4,Super,5
5d7ed9a4-1d5d-4049-b53f-8598f94357f5,Very Good,5
b425079c-cbb6-416f-a2af-dc6f2b70095d,Good,5
1c4b16f7-c135-4ace-b67f-183a1b198995,It's super game it's very interested and very entertaining,5
33faa66b-e6be-4cbd-a0a7-c1298a5dd947,Best,5
563c60d7-7b8c-428e-aa82-df4dc9dcbb63,Good,5
2dd60185-6be1-45e3-911e-a5bb001db9e2,rapid rapid,5
870d2328-3977-4b41-b8ce-2099a6d95d2b,Fav game Been playing from I want 6-13 😜😜😝😝,5
6df0675b-58a0-47e9-adfb-1a7fed428ccc,Impressed app,2
3c8a0ce7-1180-45d2-b423-89ac18c83289,It's fun,5
8999d939-e7d4-4731-9a74-4d9e516f9010,"Like the game, but I wish they made a board that had super jump and smooth drift.",5
5eb9c6bc-b0ad-4e1b-b1ca-908b6b38b917,Very fun sometimes laggy,4
db69a3b7-cc4c-4867-a2b6-7e93f2674cb7,Good,5
da07a079-1279-482c-8d38-9198166181f3,Nice game,5
64989358-c757-49a4-9eac-f23803860eff,Not a safe place for kids due to lgbtq support,1
330c1634-303b-45cd-90e5-39af17d7e0d1,Best offline game ever,5
367c09f0-20e3-45c0-bdb1-d4dcdafba760,It never lags it's so fun.,5
ab83415e-6587-43dd-858e-3fbbf395914c,I'm rating this game because I'm having fun,5
e28021f0-aa18-4c3c-8040-bd8fc0373c66,It's Okay 😒,5
9483b533-1950-42e2-94f7-9767a3af3d6b,Main download kar raha hun is,5
f0ca4349-613f-4608-938a-7f232fd302e1,It is a very best game 🎮,5
c9a44b81-a259-4dce-9d15-696036ca3d66,Fun,5
beec1d6a-cbc5-4120-9718-0a670f96671d,👌👍✌,4
abd5a886-77c0-4427-9f88-f50405fd1f65,Cool,5
1dce35b9-935a-4f15-816e-e56bad16e4b2,My ads doesn't work and I haven't been able to complete missions,2
83c17635-f712-48e0-a48b-f98a1e04926d,Really cool game,5
e6a4a041-d1d1-44e5-8832-535dd341537e,I love it,5
d03b9875-0aa7-4ba6-a155-0dfe8401adc0,I love this game I've been playing this game for 4 years and it's still so entertaining,5
9a7c5bd4-01b4-4f8a-9733-7dec4633a8e8,Fun game,5
1e27daa6-ba52-4e70-9524-e7f9eb87f65c,Weeweee,5
d29a9068-eb0f-4fd1-a869-83781ce290ff,The best game really I enjoy when I play it and very safe for children really thanks to the people who suck Its designers are very professional♥️😍,5
1ee0785e-a433-41be-9742-59dba01e9a36,👍🏻👍🏻👍🏻,5
54b7fe93-ba65-445c-ac10-bb6f6c0086f7,Many ads :):,4
2965596b-4ebf-4360-8b33-bb4f384e2663,The game is very nice,5
203b1746-8bfd-48a8-bc0c-bd62f933952c,Nice game,5
a372409e-66d5-465c-b080-4994ea809c84,ℐ 𝓇𝑒𝒶𝓁𝓁𝓎 𝓉𝒽ℴ𝓊𝑔𝒽𝓉 𝓉𝒽𝒶𝓉 𝓉𝒽𝒾𝓈 𝓌𝒶𝓈 𝒶 𝓋𝑒𝓇𝓎 𝓌𝒾𝑒𝓇𝒹 𝑔𝒶𝓂𝑒 𝒶𝓉 𝒻𝒾𝓇𝓈𝒻 𝒷𝓊𝓉 𝒶𝒸𝓉𝒶𝓁𝓁𝓎 𝒾𝓉 𝒿𝓈 𝓃ℴ𝓉. ℐ 𝓁ℴ𝓋𝑒 𝓉𝒽𝓊𝓈 𝑔𝒶𝓂𝑒 𝓈ℴ 𝓂𝓊𝒸𝒽 𝒾 𝒶𝓂 𝒾𝓃 𝒻ℴ𝓇𝓉𝒽 𝓅𝓁𝒶𝒸𝑒 𝒻ℴ𝓇 𝓉𝒽𝑒 𝓉ℴ𝓊𝓇𝓃𝒶𝓂𝑒𝓃𝓉,5
bc098615-3a48-408b-b281-e191b01abd0a,love,4
a8567666-4eaf-45c7-a082-459d24e25b6b,I have been playing this game since long time but i dont why now i am not able to connect it with facebook or play store?,3
8d92820d-d41d-4eb1-b103-0c67165d90d7,Best,5
b8b734ad-ffa6-4861-8f23-f5c0b7c82776,Mt bom Bom,5
52f2a965-202e-4dfb-943e-22fc66fcc7f0,It is fun and entertaining for long car rides.,4
e85e4d34-813b-475b-a6a9-6bc2d60f34ce,T Love wen you start running,5
27a739d1-b62f-47ba-b212-be49ab9c16ac,"Game easy to play, but the greatest downside of this game is so many ads in between the game. It kills all your playing mood, not highly recommended.",2
18379dee-e569-4f59-bbb6-cb97b27fe19c,Wow an amazing game that i ever enjoyed all the time very exceptional,5
b1526afc-865c-4b77-bcab-fdc1e8076e2f,Nice and challenging game. It keeps me occupied when I have free time in the office.,5
b7c871b9-7cbb-4860-a03c-d65dddec4d7c,Awesome,5
4f221e59-7818-4d00-85ba-ed64809296f9,Awesome,5
7e8676f5-7c91-42ac-9750-e067b8769c00,Its fun,4
2bc2e80d-4b4c-4070-a842-0b8733a40f7a,Perfect,5
3648bde0-c334-4432-a187-ccc5a1b593d4,Peter 2306,4
ca78527d-a798-4eab-a921-12456ad86275,Brrrrrrrrŕrrrrrrrrrro Just try it.,5
7fc6dbd7-450a-459a-b66e-07af5bb42f77,Nice.,5
26718ec0-d18b-41c9-b9f2-d1933bd140e5,Things didn't save was finished with game and had Facebook account,4
65c0d728-1859-40c8-bd0e-e2366db82ab0,Ive liked the app for a long time but the new song changes things idk who made that and thought it was good get the old one back,3
165ce5ef-362a-42fd-aacb-7939d47e7eac,I can't update it... nevermind.,5
101a771e-4962-485a-939b-73fbc1c649eb,I like this game because it calms me down when I get annoyed but to be fare you don't get alot of adds you only get three or four wich isn't bad for me you might think different but that okey😁😁,5
805faa20-e103-4787-9ee5-47bc82750fdb,The best thing ever at all time this game ia the best it is more nicecthen Roblox this game is the beat omg eveyone play subway Surfers it is the best game ever! Wveyone like subway Surfers it is the best you cam change you skin and act like it in irl i like the way that they have a lot of tranis and lot of skins it is the best game ever so what do you thimk of the game it is the best ok so play subway sufers ok it is the best evey one it is evem beter than fee fire and candycrush it is the best,5
55bbb00c-4f36-4052-a88e-bf5c32c695e6,no no I'm inn express,5
270d35c2-9750-422d-8cb5-f98aa3acb523,No ads and beautiful games guys download this game and try,5
8d924191-fba1-4cef-bf69-8813d6c9ddf4,Best time killer and enjoyable game I ever play .but now a day its kinda boring please add some fun like clashing system and make global leaderboard if you guys do this this game again break the record ❤️❤️,5
dd7edef2-eaa4-4d79-b4c0-13978cc76ca9,Good,5
06aab6b4-fc0e-4ee9-bf1c-c1b714a93650,Delete,5
e71e7e31-2d36-41f4-bd8d-d0b68beac22f,I will keep supporting this game and playing it it's very fun and I hope you have a chance and see if you can download it you should try and see if you like it but I do come and have fun here at subway surfers,4
e19bf953-9ee0-4d1c-b6a3-f3b7bc8cccb3,It's a really fun game,5
892bd1cf-2827-4a0e-9a2d-55cfb6878d6e,Amazing game! I had lots of fun playing it Barley any ads And great quality 👌 I would give it a 5 But Maybe the coins can be worth a little bit more. Thank you,4
3e07d9d2-5563-4019-a724-b57585ce8084,Good.,5
f72add3f-23d2-4d68-88c9-548ec50a0377,It is a really good game and it is a stress reliever game it also relieves the stress of the person.,5
bc319f80-0947-432c-b44e-625dc2c62495,-i like't,3
79b9224c-9cfe-4000-91d6-940b568acc1f,I love this game I've been playing it since I was in the third grade or lower but I am now in the fifth I will always play this game as my #1st to 2nd most beloved games I hope this game keeps getting amazing characters I have no problems with any of the ads either just all good in one :) to the owners who made this game and I'm about to be a teenager in 3 years or more like 2 just know you carried my childhood 😢👍,5
429c9de8-0a0b-4eab-b2c8-0c832e9729b3,This game is so much fun I love it,5
