reviewId,content,score
458c39ff-8d88-45db-9e23-f6f43c520cf6,Enjoy it,5
2a5b37c0-39f6-4c00-889c-c317bc4bb882,"It's amazing! I think it would be great, if you guy could add a voice comment section for better views on videos 😁",5
70b1c8eb-f51e-47cf-bfd0-dd623a86563d,It awesome,5
078925a7-674b-499e-96bf-1cea9f91c9e2,Amazing,5
4be16dcc-8a4f-4951-8cec-f4acf5244741,This App is Very Enjoy,1
9c58a714-b087-43d5-82dc-d1a80159e987,Very good,5
e7f8243a-e8a6-4230-b8e6-aedfb9adc236,"Tiktok is a great app. You can learn so much on tiktok such as, new cooking methods, hairstyles, makeup products you should use and so much more I just love this app so much",5
fa27a9f0-ede1-4167-b622-780ef0462a27,Tik tok not open,1
ab1f95a8-3c69-4c1d-af88-eb863c0c1be0,Great app,5
3e6d45db-edc6-4114-a997-37f3bf78a8de,very nice apps🥰,5
27242d97-c90c-475b-9b70-8f187cfcf09d,❤️❤️❤️❤️👈,2
eafb28fe-5934-4115-ab9c-bcdfa3628c70,I love you Tiktok 😘,5
4fe25352-d0df-4636-884e-747ed647e48e,Hlo tiktok team please don't underviews my videos plz support me tiktok users 🙏,5
030f2c82-632d-487b-9cbd-0e01fa0d107a,Nice app,5
57aff9e2-bb90-4916-b338-c26c7c424804,It's such an amazing way to meet new people and sometimes tou will find love and new hobbies,5
a87ab17f-dab6-494f-8507-e8e837074b3b,Good,5
a78419f4-54b0-40c9-8602-4759c1a906fb,Very exciting,5
4d8528fb-8097-4831-96d0-e3aa4435743d,No me deja subir canciones completas jajajakaka,3
72bad24e-904f-476c-a6c0-3898cf337329,Good work,5
385bd37f-0200-4121-a59e-b48334734544,Good,5
85e4212d-7157-4011-927b-adb9211fac2b,You can never get help from this app. someone is stalking you...not tiktoks problem.....Block them..that's all that's offered.,1
423aa8c2-18e0-48d2-b607-377c7e0321a6,Pop up ads,1
5ea15b78-6e8e-4d3e-b289-e2390d60d6a2,Better,5
8776fea2-3396-4f6b-b296-ea710e4dd2db,All,5
d9ebb337-bbbe-4ba2-8b61-c8189c5923bb,Iike my video,5
30742a38-8b13-4229-8e65-1331899b6b64,Good and happy,5
bd441620-6fee-4a88-bd6c-065c27f621b7,This application does not have freedom of opinion and its administration practices racism towards Saudis !! What a shame at 21 CENTURY,1
be689daf-7784-41da-a82e-90fc8b485a93,It's laggy and slow,2
1289ae6c-aeef-4d2a-a614-b097f8a5b865,Bc we can see how they are dancing and we can look how they love there bf,5
25e54483-8117-49b7-88bc-1bcadc197f52,I love tik Tok .This app is definitely a fun place to meet new people and see alot of kewl people doing kewl stuff .😊😊😉,5
b9cace9a-d185-4925-a49d-2a417f19739e,It's good,5
fd894f21-3e42-431a-b5c8-0dfcdf7289a3,Very good,5
6de9e7c8-d77a-4119-88d5-f4e49ff0ba2d,Best apps TikTok,5
24d47a33-1ad1-49f7-9dd0-e1b1fad7d40a,Umm it's tiktok love it,5
c7fcfc84-bf3a-4449-8715-5ae3151306a2,Constantly see pro nazi/hamas posts but otherwise ok,3
0ef9c767-04ea-456f-b4d4-3f49b4b2a8a8,Amazing app,5
9b7d5141-5e4a-4d6e-b254-ec9ecd40abec,It is good,5
459e1b8c-d40a-48cc-98ca-63fe6e894e2b,There is no option of direct massage,1
a77a0e62-9dd1-48c9-b829-c07a7c74dfe1,This is kinda time wasting,1
292ebea2-4e8b-41e3-8a04-a5fb1eda7ba7,"Your having a hard time keep scamer out how about reworking the thing , before I give a star ok ' really!",1
4a07e4d3-05b1-4579-a9a4-51998e6c8aa4,"I go on it every day, and it shows so many cool things on here",5
a9fc3dab-ae65-4135-a5c6-bf7dc77932cd,My tik tok is not open i am click the tiktok app and app blinking plz solve my problem,5
0dfed2b7-dbfc-4a24-8335-243ac51c320c,I love this apps,5
4f8ff6cd-de11-485c-8ba3-bd3fb2c71359,I'm truly enjoying the people and this app,5
926fcb5b-872f-494d-bd83-f50126b88ddc,I love this tik tok apps I watch tik tok videoes I fell happy and so proud and entertainment I also create video this apps and so happy I have no words to describe thank you tik tok team🙏🙏🙏🙏🙏🙏,5
4ec1ff7c-acbf-4f09-be11-977094030c57,Super 💯,5
3a65447c-27d5-4fa7-bca6-1cc1f7816b91,TikTok Teams.❤ I love u ❤ super 💖💝💝💝💝💝💝💝💝,1
f28972e1-640c-4fbb-8132-5d48cba7ee6c,app good its just there is just too many spoilers of shows and anime ect I wish there's was a restriction to that.,1
007ee3da-1194-47ec-85d3-c8c931796f4f,easy,5
e38c41b8-7c3f-4f4a-8b7f-c3b9c6a009a9,The second best video app. You can make videos,5
9092d26e-2a47-4f48-8f7d-a7669b409f97,Great service,5
93046167-7958-44ad-a65e-d96045b0eafc,Good,5
d914cc2e-c08d-47a4-b3bd-eba5717fe27b,It's a great experience,5
0a76ec9a-3726-4a6a-95fd-a82714b8ada1,It's good for videos and dances and music,5
18e160cc-68b8-4896-8980-2968bca00df1,I really like tiktok,5
b224f443-6636-477d-bb9c-378c6a3df42a,nice,1
34c8b490-a856-47f9-8b8f-c11f4cbea0ea,Koool,5
8eb60a38-0956-4708-89aa-f6e501f16f4a,Best good👍 app,5
18e51f04-9982-4a70-9138-8ec45bedb07b,So I excited now and I don't know why Finished update was tell me feedback 😢,3
d5c5420f-5372-40f9-83fc-4aec1ce7a295,Hi I love ❤️ TikTok,4
e4e68194-3fe5-42cb-aeed-2b304015ac7b,It is super fun,5
04c9ce52-721a-4436-af50-3f8785e77640,Amar idta follow back hoina I'd name mdsadaykul445,5
adb61d44-4961-4589-ad29-e10fcd8e3042,Nice 👍,5
0dc295dc-59a2-4c42-aaf4-c20cba40557f,Cooo,5
d0265111-369a-4e40-997f-262e9caa7a50,"Won't stop pushing livestreams of bigots and Christians on my feed directly after I keep reporting them as something I'm not interested in, and they do nothing when you report them for hate speech",1
2cc95a52-d60d-44a2-8d35-dd6911377e57,Good,5
020f9529-85cd-457f-9941-bae8318cf3e7,its.col.wen receiving followers likes And posting videos,5
2da4151e-450d-496e-8f4d-e98e5ff8d36e,Tiktok have many bugs and friends massages donot show correctly time and many more.😡,1
4f100981-0a05-4846-b7c3-264faaef0f1b,It's a fun time for me,4
11f29c8e-6d57-4b33-b7dd-c364fccb549f,I really like it most of the time. Sometimes there's annoying ads but not too often.,5
54ccf632-5ac8-44da-a72a-cf8c930d45f6,Is very nice app keep it up,4
6978c370-669f-48d0-a30e-5c716dd9bb79,Very good,5
238b51ff-3a2a-4f41-8c29-c7b376d265c1,Good app Very nice,1
6a2e1a46-5745-43f8-a5ed-015057c96b4b,❤️❤️❤️💓💓💓💖💖💖,5
888f8fdf-a731-484e-bb40-5c85a54efbc7,Rao HASHISH,5
589c49e3-e425-4578-87d3-f9a6f109002c,WhatsApp,1
fc14ace1-224c-459e-bbe1-4441dcfcee34,MD:SOHEL,5
c4075ab2-73a8-4d29-943e-d495f593edf7,Keeps freezing up.,3
2aac33a6-8e8e-4326-8bad-f2474468102b,"Dr, CT Dr l CT Dr SE CT",4
b3a32f55-a0c5-4b93-af70-11fe91bf1b7a,Really❤️u,5
185f28a2-7fd3-48cf-be3b-c1cd5d7ae5e9,TikTok needs a update when I'm just chilling and watching videos I get kicked out or my videos gets stuck or frozen,1
d929adbb-78da-4679-9282-f588565f858e,بژی کورد,5
ab031f86-e9e9-4353-bbe5-2bdfce324dfc,The app is very good. I enjoy using it 💕💕💕🥰🥰,5
d5ed6bac-bcca-4f34-aff3-77de51180fdb,I feel like I'm finally becoming a part of a family 💗,5
