reviewId,content,score
c5287453-a253-451a-bb02-8e90ea7c051a,Good,5
dfaf397d-df67-402d-ad81-ac26bd0833a3,"It will be very useful if WhatsApp can compile our chat with person the number has not been saved. If it compiled in a folder, we can look it up more easily; we can also get it in one place so we can save the numbers and named it when we have enough time. Please make it, Thank you.",4
e9752a12-dbb8-482c-a48a-66393ac4e303,good,1
6f9f3586-28e0-4c30-b351-90fe3fa23bc9,My whatsapp number is banned how to unban my number plzz help me,2
b23e91ba-e2c9-4807-933c-206a1a1ed508,bekar,1
7d84b692-0ba2-42d6-a6f1-c18ff8d6b5f9,Super,1
a74863ac-08a8-4c41-84ec-0874bf2d67eb,Very good,5
a670a9c1-22b4-4756-8a2c-b8a419f582dd,It's been more than 5 years ypu guys haven't updated UI interface of Whatsapp . We need something new.,5
7d011a79-3cc6-4a21-aa3b-d8c46b3c30be,Nupur,2
ec7db96a-24d2-4c15-a862-d826f064f929,Good 👍,1
77936dee-f0a2-43e6-a2ad-412feeddb718,Very good,5
c3bb5dbd-ab5d-4acd-a675-0a72c087fa7d,Great,5
7f60e6bf-5e37-477c-b2ae-94de1ea10ccb,Not very bad,3
f77e2784-d92a-4f45-8f7a-55a1f5978cc7,What's app is a good application but Many times I don't see my WhatsApp status. What kind of system is this? ￼,4
c19b24bf-399a-4aec-9494-456731ac3190,Sk SachinKumar,5
a4be4689-e024-4a15-b0e0-ee491d062a97,Superb,5
043c929a-e8e4-49e3-b724-382e3dced156,Roji,5
aae86bd0-1cae-4aa9-9fec-b3e179469333,Super,5
b8c7aea4-275c-4eea-931e-8a5d4024d05d,"Easy to call, comfortable",5
669414e5-a361-4c5c-876e-c15a0e509e7a,Helpful app..,5
0c5607c3-c49c-4aa5-8e72-367437c704f9,nice,1
7d787236-b667-4977-9e1a-56990b47c444,Good,5
b3cffa10-6fc2-4dbd-b35f-51902a65a1c1,erro on calling,1
2db72f91-e8bb-4a46-9512-4cfb1f3a79e1,Whatsapp uniustall because not working.whatsapp code not received .this is no help full aap,2
c9beee76-5364-414d-b812-558e514c3607,Your game is very good 💯💯💯💯💯💯💯💯💯💯,5
96bfbec1-9f13-414f-94b0-f77af4454686,Siper,5
d1e38a98-ccc8-4414-8d27-c67b3155d390,Hope will get excited options,5
eb9ff289-fb07-4b3f-8133-3f8ceca42326,Good,5
8a3c2be3-b868-45c6-a796-381c2ce23425,Nice job,5
0bff1bf7-24c3-4191-a323-46d7c5e9515c,Sir mera whatsapp nahi chal raha hei,5
eaa5a031-326d-4340-a852-46519d80aab6,Yrr Bina kuch kiye mera account ban kar diya yrr,1
61ef0ec2-fc7f-4569-a106-f73eb236c625,Good,5
4e872f66-248c-4e99-b55a-8521c1eb0e3b,Good app,5
65e1bdbe-9082-4631-9b6b-82d183ac4f35,"I would like customization: themes like black/white and better ways to manage files. Google has a fun way of drawing on video/filters. Otherwise, this is a great app for connecting.",3
48871a9b-edfb-496d-86f0-fb3f809b2809,Bommidi chandrashekar,2
061f7f9d-a1d9-4590-8c57-166991d89723,Small WhatsApp channel won't grow now and not able to search them also one of the very worst underrated zero update . Honestly small chanel don't provide impression even though high content uploading is going on,1
9f094c3c-9def-4601-bcb6-b94646988bf5,"hello am not able to use my account. since am using from past 8years it's working good, all of sudden it's stopped my mobile number try to reinstall the app am not getting confirmation from whatsapp neither am getting sms Or call from them what's app support service still not taken my issue seriously. kindly rectify it as earliest thanks in advance for what's app Teamsupport",5
39021adc-556e-43e1-be87-3fbf14b14683,Good,5
4306263c-d77f-4cf6-802b-ba0594adcbd7,Please back my account 🙏🙏🙏😭😭😭,5
779f2eb5-eabf-4dee-a648-6def7a1423c5,I love my what'saap Ni NiSaR,5
b743aff4-f651-4ca9-aaa9-e620ee54f514,👌,5
841260cb-17f8-4f7f-ae93-80dba99f8120,Poor app.,1
0307316f-1f51-416a-9647-aba19a1c7c62,Vikash,5
e8878a16-8281-4229-a4fb-2bf5f0d98c68,Nice,5
b8dc666b-972a-424e-8531-86a589a9fcb5,Why wtsapp has banned my account.i am not doing any fraud or spam here.you may verify.i follow all terms n conditions of wtsapp,1
6775f343-0079-43bf-9663-91c5b3eec359,What a shame I can't get verification code this app is now useless know WhatsApp can't verify the number 😕,1
a8497f3c-2b9c-4bab-b3f1-2902835d022d,Help,5
3da7b6f0-c225-454b-9038-8c0eda8b3fe7,Very nice,5
1cca7c05-3e57-4a05-9913-ec8b921839c5,Ozzzii,2
2aa2123b-f980-49e0-9bc8-cd1e13caced1,enter,5
20790845-f772-4dae-853c-c2e86ca66e28,👌good,5
3ac64bba-437b-496f-b5a0-f67d05b9b3ad,If ecdcdcfc,1
b30d6193-96ac-449d-acfa-289c95b97b9c,I'm usinging this app many many more,4
9d259677-2cd8-4f0a-9046-ddad7be52f50,..k,5
38cf72d4-031f-4fe5-9881-a6f3f2f65adf,My whatsapp account broblam,5
4157149a-7f30-443e-a141-3aac52ab8e2a,Tiuttf,5
32c473d6-f8ae-4058-9a77-050de3dede74,"Rdrr🇲🇦🇲🇦🇲🇦⛹️👨‍🦽,heejee",2
2adcf1ea-c821-4389-936a-79f2a36055fa,Its good app 100% over 1000%,5
ba6790c8-c84d-4872-b940-02f9eee3e6b1,ဘောစိ,1
703e78f6-5f17-43c9-8cb2-f379937a2167,"The new status update is not good, the old status is good.",1
f17255bc-0ad1-4ada-8b9e-3f778b4fb76c,inappropriate and false emoji,1
5f0421b3-8cc0-42ee-8bf5-861649856f60,🥳😍🥳😍🥳🥳😍,4
522bc91b-87f8-4591-8a9b-867af2add49c,Solve this problem,1
470841ed-0fcf-4321-9849-58fcad14fd16,I love you all but you don't want me,5
d56c2b14-b412-46dd-818b-c0e6e8e9668f,Deepchand,5
31038b80-952e-46f0-92b0-62027c8fc78b,Nice and heplpful .,5
f52307f7-9987-4068-8259-1074d4135287,I request to provide linked Device notification and log out tab on top of the chat bar.,4
a1d92596-50c2-4b78-98e8-9c00a1911d55,I want that beta version please,5
87888f29-6e8a-49e6-bf42-12ed8bed0b00,I AM LOGIN MY WHATSAPP ACCOUNT BUT VERIFICATION CODE IS NOT COMING. SO PLEASE SOLVE MY PROBLEM.,1
48b9a127-e8f6-497a-bf25-5a687f75872b,Mazhar alam,1
8b33430a-6c47-406a-96e5-1cfdddc8a897,WhatsApp admin Please unban my account,5
6d6f826b-b4b3-4ba6-9505-93b4a541530d,Dhola Maru,5
1a4f720f-6a6e-4a46-a859-f821657e32b8,very good,5
1fbd221b-07f9-4b6b-b1c1-5635ad8be2c2,Excellent 👌,5
6e185e18-aa39-4c7e-8d9d-2441ae58a642,Nice,5
e24638dc-5587-48f7-8e4f-c64e504c2128,Nice,4
d9e48630-2434-453a-995c-891ec35052df,Vishwas sir,5
45f3664a-5036-4742-848a-567e7e7025e9,Whatsapp,2
3830d3a4-0361-4501-9f85-c2b5d2c7a476,Mukrampasha,3
c6870b1c-2da2-4326-93b9-59c8a5a4bbda,Good,5
d2cdebc1-7d91-4100-af95-5b64b0db59e2,Fabulous,1
9a36ac3b-b517-4bb0-a2e7-fef47ed890f2,Amir ail,1
3901ff23-c253-408c-8d10-e6a46bf97cc8,I cant forward messsage,5
3a943c9c-9699-4f84-8f59-223d8bea5eaf,Nice,3
1cd14311-6d7c-461a-9144-9d7281deb2c3,Good experience.sevice activity fine,5
d29e7905-ed7f-4ac4-81db-65c7917f5288,K lo,5
98f50c9f-67c1-4873-a54d-359bf766313d,Very helpful for communication,5
7ac75424-ddcc-4fee-b34d-d132a65adf21,Dose this I am personal information such as well and this iss bare main voice mag ang sharing fill,5
dc3cc959-4ef9-42c1-8a2f-a2fab83c3b30,Good,5
afedd7fe-abe0-4c71-87cc-8749a0a7b052,"WhatsApp is not responding, why",1
93aff6a0-2b08-4f8c-908a-c46bc6d91d86,Awesome 👍👍💯💯,5
173a3e12-2691-4bd9-9636-4fbdaea6041f,💖💖💖💖💖,5
a8fc1dd8-8f0e-4dd7-98bf-9032c9036e75,Very bad,1
66161035-703f-4a9b-95c2-299e93c15994,La app más bugueada de 2023,1
ff6e36cd-5cd7-4ee1-aeb9-ad6cf09dcf08,Low,3
b7e65ba9-cf54-4eb6-8e61-76ae80f50f82,Nice,5
37b290c9-70db-42df-9472-6d8b34149322,Good,5
679e0c3e-9b7d-4b0d-81eb-b19bf0b54164,WhatsApp mess,5
c93cb5f4-01be-417e-9324-3d65448f6748,Nice app,3
6b3332d2-03fe-4925-8f2f-16ef8a7af641,Ok,3
9c3bc878-2ed2-4a4d-b9aa-4e236b06eb3a,😊😊😊😊😚😚😚😚😚😚,3
5821e5fb-4539-4192-ac3f-8842f60dd722,Nice and amazing,5
098b2140-b5da-457b-9596-984ce5084a97,HD video upload problems.,1
4aa6100c-45c0-4ddb-b7c6-5dc2822ba00e,very good,5
3b2b799f-4bac-4422-b963-a8ad39de6ecc,Goood,5
7c8b91b6-f26b-49e7-b539-937773655ea9,😞,1
60a0ba2a-6872-4d59-ab9a-74481d27a219,@Sanaullah Baloch:jani nice 🧡🧡🧡💚💙💙💙💗💗💗💗❤️‍🔥💔💔,4
dc9768fc-3248-4fbe-92a4-d4e3827984f2,"Saya menyarankan fitur pengelompokan grup untuk grup chat atau chat tertentu. Misalnya, ketika saya ingin memisahkan chat atau grup chat antara urusan sekolah, keluarga, ataupun kerja. Seperti folder di dalam folder. Singkatnya, ada folder chat dimana isinya bisa beberapa grup chat atau chat pribadi untuk memudahkan saya menemukan siapa yang akan saya hubungi.",5
35f11db9-64a3-4b5a-a3bd-834fe5d4c3e8,Farhan,5
3372e383-5056-492e-a1ad-3e1dcea59163,Old version is best,1
2aa1d7ae-cbdf-423d-859b-5564f036d17d,nice app,5
79145ed6-26d5-4182-b166-9ab89c11bd31,Videos put on the updates stop for no reason when you put i for more than 30 seconds. The first bit of the 30 seconds video plays but not the other part of the remaining video plays instead it stops,2
6419afaa-39a4-4121-8b64-c2e8d6c561de,Very nice improvement,4
8a4af5e8-b3c8-42ad-802a-5a19d3a8046e,whatsApp,1
5a1ab855-cdbe-49ae-90ae-fb1e381c1825,Good,5
9e007a84-0fb8-4cd6-a02a-c4e9d2f3b6dc,Very nice Ji,5
cc7cbc09-1cff-4ede-907b-01d31561c588,I don't like letest update 😡,1
84da9b8f-650d-4257-a503-90372d713c28,💖,5
02454ddc-5edb-43e3-9493-a32faba70abc,May wartsapp no away,5
4d5cadf7-19de-48a3-a448-c5f30079247e,Gonudas Gub,1
297a6922-7659-487e-93b3-d9ea5a408f9d,Terbaik,5
ccd7fc4e-1d34-4e5f-b61b-29780ac98258,"Hi team members, I've already installed official WhatsApp Messenger but still suggesting me to use official WhatsApp Messenger, please fix this problem",5
e8ada2b9-d7f1-4c66-981d-900af895f5e3,nice,5
555b0d5a-0900-46b1-861d-e005d221e0d7,whatsap ss good for social life,4
b68a3296-8211-41f6-97df-ecbe15a249a1,Very good,5
cac12a74-3695-4762-a2ca-c949055f3d94,I like this app veryyy much,5
0bd4f801-617e-433b-ab51-adc26658607d,Good,5
b25436e4-7817-465f-bf8a-aed18fd9adaf,My whatsApp was open on my Motorola phone which is gone broken I I can't retrieve my chats to my Samsung. It wants to stay on one device old broken Motorola I can't even get off my phone,1
0c2e11f3-1d94-4e62-879f-c021a25a65d7,Ms hgbt hi,5
9b487d42-d425-4639-86fa-28cc88490616,Bast WhatsApp,4
fec6d2af-fbe2-4d80-87ba-4f9ef1a827e0,Not satisfied with this version we because we can't search the person by name in status,1
0d0bd0ce-3a37-4c97-a321-627fbf8c25af,Nice,5
dbec7b9b-f811-4ae3-ada3-e6222d4c3e63,Good,1
0310155e-6215-4aae-8c74-ce836badc259,Poor,1
7c57fc35-b08a-491c-b932-56fa1e1339b4,Not opening 😢,2
bbb8d2b0-0bc0-424d-89f4-8c037afbd7da,Nice,5
8868ae18-bd0a-43f5-bd09-da02648aafa6,Nive,1
1da616a1-ecbd-4f85-80fa-821957aca9ae,Best app,3
9e37b4b6-7c6f-4454-a3ec-e0397ce6168e,గౌట్,5
e6bce6cc-a7e1-4f01-9a2f-98127a57c2df,🤮,1
b20cd1b4-6ed7-4ea7-a8a6-432bdd1f4f0d,Good,5
76360a7b-5155-4925-b451-322640a68a2a,Mr Ajay kumar vansi,5
8ba0e814-cd5e-4417-91f3-713c389f72f9,This aap a good. Tha Osama's,5
f7d0aac6-3cf8-4ca0-8a69-48cbd5dfa581,Very nice,5
ccce9b2f-af34-49fd-ac25-3b3acff47957,Nice,1
7e9d2e53-414a-4d1e-bb45-0c21a6fe0881,Favored😍,4
ccd9bf68-a5f6-4e10-a49a-23b7d4eb04c2,Nice,5
840e61d3-fc32-42c6-8c26-ebaaa4ab8fd8,Very nice lovely 😍😍🫶🫶,5
1e9c5c1d-c260-458e-b484-952caf091b45,Nice,5
842c2c34-7066-4788-9f9b-199dc24904d5,worst update 😄😄🤭🤭,1
16eaf0dd-046b-436b-afd7-75f5e0722452,व्हाट्सएप,5
1b200845-9813-4481-8586-e08b51ded0fd,Thank you editors for such a great app!,5
72996ad8-b636-42f1-8fcd-7a5770c327e6,My WhatsApp baeend please unbaeend my WhatsApp number,5
c50ab4e4-24ec-4c15-8225-c2d895d09f7e,किRf,2
43d71be7-22b2-40d9-a1c6-90c88e81fd4d,The world No.1 mostly wanted messenger.,5
6fd5cf37-977e-46a2-bb0c-99056b84d551,Great,5
24e9c48d-4883-4e59-b4a1-ef1dee684dfd,کیونکہ آپ بار بار بغیر کسی ریزن کے دوسروں کو پریشان کرتے ہیں واٹس ایپ بلاک کر کے,1
c64d4b40-cca5-4c9c-b097-19c4802c273a,Civil padvi,5
0d8ce1be-eb35-488b-95fa-ba49af3a21c9,Very nice 😊,3
f9b08054-d3cb-4275-b79a-28a828244e0e,Please give me a blue tick and feedback on whatsap plz,5
03b6affc-3e48-4542-abed-bd5afae39104,15 eyar,5
